start_time,exit_status,mean_qscore_template,sequence_length_template,mean_qscore_complement,sequence_length_complement,mean_qscore_2d,sequence_length_2d,run_id
205.318,S_OK,,,,,11.203,3424,f9af78a208e192d69dba03a4542d58a9605309fc
79.129,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
71.469,S_OK,,,,,12.301,1226,f9af78a208e192d69dba03a4542d58a9605309fc
97.474,S_OK,,,,,11.518,727,f9af78a208e192d69dba03a4542d58a9605309fc
182.655,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
33.949,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
73.142,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
25.156,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
290.383,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
55.501,S_OK,,,,,12.206,1073,f9af78a208e192d69dba03a4542d58a9605309fc
313.964,S_OK,,,,,11.599,1597,f9af78a208e192d69dba03a4542d58a9605309fc
239.996,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
162.118,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
178.254,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
249.508,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
264.267,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
246.271,S_OK,,,,,9.819,2091,f9af78a208e192d69dba03a4542d58a9605309fc
40.217,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
101.553,2D basecall failed quality filters,,,,,8.577,741,f9af78a208e192d69dba03a4542d58a9605309fc
235.594,S_OK,,,,,11.703,1047,f9af78a208e192d69dba03a4542d58a9605309fc
141.058,2D basecall failed quality filters,,,,,8.033,1541,f9af78a208e192d69dba03a4542d58a9605309fc
305.869,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
291.264,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
62.300,S_OK,,,,,13.560,888,f9af78a208e192d69dba03a4542d58a9605309fc
136.636,2D basecall failed quality filters,,,,,7.486,844,f9af78a208e192d69dba03a4542d58a9605309fc
50.018,2D basecall failed quality filters,,,,,8.034,2271,f9af78a208e192d69dba03a4542d58a9605309fc
293.268,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
112.630,S_OK,,,,,10.878,2375,f9af78a208e192d69dba03a4542d58a9605309fc
160.737,2D basecall failed quality filters,,,,,8.155,797,f9af78a208e192d69dba03a4542d58a9605309fc
229.953,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
205.750,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
220.541,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
213.251,S_OK,,,,,12.330,2668,f9af78a208e192d69dba03a4542d58a9605309fc
226.579,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
231.326,2D basecall failed quality filters,,,,,8.208,686,f9af78a208e192d69dba03a4542d58a9605309fc
256.493,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
82.608,S_OK,,,,,13.304,2168,f9af78a208e192d69dba03a4542d58a9605309fc
172.096,S_OK,,,,,12.709,2399,f9af78a208e192d69dba03a4542d58a9605309fc
71.207,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
290.041,S_OK,,,,,12.924,790,f9af78a208e192d69dba03a4542d58a9605309fc
203.243,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
125.716,S_OK,,,,,12.307,787,f9af78a208e192d69dba03a4542d58a9605309fc
151.340,2D basecall failed quality filters,,,,,7.900,881,f9af78a208e192d69dba03a4542d58a9605309fc
142.327,S_OK,,,,,12.122,785,f9af78a208e192d69dba03a4542d58a9605309fc
158.169,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
125.038,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
300.905,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
272.443,S_OK,,,,,9.031,1849,f9af78a208e192d69dba03a4542d58a9605309fc
262.459,S_OK,,,,,12.307,2576,f9af78a208e192d69dba03a4542d58a9605309fc
196.440,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
263.818,S_OK,,,,,11.808,875,f9af78a208e192d69dba03a4542d58a9605309fc
122.030,S_OK,,,,,11.505,815,f9af78a208e192d69dba03a4542d58a9605309fc
314.988,S_OK,,,,,12.290,806,f9af78a208e192d69dba03a4542d58a9605309fc
255.516,S_OK,,,,,13.917,2465,f9af78a208e192d69dba03a4542d58a9605309fc
227.450,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
38.474,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
134.082,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
171.938,S_OK,,,,,13.382,1253,f9af78a208e192d69dba03a4542d58a9605309fc
309.421,S_OK,,,,,10.469,1024,f9af78a208e192d69dba03a4542d58a9605309fc
238.037,S_OK,,,,,12.187,662,f9af78a208e192d69dba03a4542d58a9605309fc
288.701,S_OK,,,,,11.550,728,f9af78a208e192d69dba03a4542d58a9605309fc
81.182,2D basecall failed quality filters,,,,,7.520,581,f9af78a208e192d69dba03a4542d58a9605309fc
267.751,S_OK,,,,,13.199,2706,f9af78a208e192d69dba03a4542d58a9605309fc
79.854,S_OK,,,,,9.071,601,f9af78a208e192d69dba03a4542d58a9605309fc
231.027,S_OK,,,,,9.577,2342,f9af78a208e192d69dba03a4542d58a9605309fc
289.772,S_OK,,,,,12.287,851,f9af78a208e192d69dba03a4542d58a9605309fc
309.554,S_OK,,,,,11.182,1004,f9af78a208e192d69dba03a4542d58a9605309fc
52.208,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
32.926,2D basecall failed quality filters,,,,,8.337,3263,f9af78a208e192d69dba03a4542d58a9605309fc
203.520,S_OK,,,,,10.100,756,f9af78a208e192d69dba03a4542d58a9605309fc
92.627,S_OK,,,,,12.991,892,f9af78a208e192d69dba03a4542d58a9605309fc
199.947,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
49.937,2D basecall failed quality filters,,,,,7.566,794,f9af78a208e192d69dba03a4542d58a9605309fc
221.143,2D basecall failed quality filters,,,,,6.067,1699,f9af78a208e192d69dba03a4542d58a9605309fc
60.478,S_OK,,,,,12.810,1446,f9af78a208e192d69dba03a4542d58a9605309fc
